obs_names,predicted_labels,majority_voting
Oetjen_2018.C_T1_S2:737,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM2_pos:2332,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.mm3:1236,Treg(diff),Tcm/Naive helper T cells
Liu_2021.58408_SMM:989,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.R:2408,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM6:2593,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Zheng_2021.P20190122-T:5342,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM4_pos:6935,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM6_pos:4883,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.P:331,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.G:593,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Liu_2021.60359_Primary:1525,NK cells,NK cells
Foster_2024.SMM7_pos:1230,CD16- NK cells,CD16- NK cells
Oetjen_2018.K:4340,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Zheng_2021.P20190322-T:1734,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM5_pos:1101,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM4_pos:4124,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Granja_2019.BMMC_D1T1:3435,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM6:3507,Regulatory T cells,Regulatory T cells
Foster_2024.SMM6_pos:227,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.MGUS1_pos:1148,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Zavidij_2020.NBM-11:390,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM10_pos:1128,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Bailur_2019.mgus11:1002,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM13_pos:5298,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MGUS1_pos:3681,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM13_pos:10494,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.HD1_pos:1080,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM12_pos:5880,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM13_pos:7561,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Zavidij_2020.NBM-11:718,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM12_pos:7407,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.MM3_pos:189,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.MGUS1_pos:5598,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM4_pos:747,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Bailur_2019.mm6:431,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Kfoury_2021.BMM6:1253,Regulatory T cells,Regulatory T cells
Bailur_2019.hd8:505,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.HD3_pos:2248,NK cells,CRTAM+ gamma-delta T cells
Granja_2019.BMMC_D1T2:45,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM13_pos:8304,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM2_pos:5173,MAIT cells,MAIT cells
Foster_2024.MM7_pos:7592,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MGUS1_pos:3534,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Granja_2019.BMMC_D1T1:570,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM13_pos:10986,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM13_pos:7901,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.N:2756,NK cells,NK cells
Foster_2024.HD1_pos:3789,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.hd6:671,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.37692_Primary:790,NK cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM7_neg:1963,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM4_pos:2795,Tem/Trm cytotoxic T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_neg:1179,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM1_pos:1264,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM11_pos:4397,Tem/Effector helper T cells,Tem/Effector helper T cells
