obs_names,predicted_labels,majority_voting
Foster_2024.SMM11_pos:3615,Tcm/Naive helper T cells,Tem/Effector helper T cells
Foster_2024.SMM8_pos:8857,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Oetjen_2018.O:2718,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Oetjen_2018.B:2611,Tem/Effector helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_pos:589,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Granja_2019.BMMC_D1T2:4803,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM4_neg:1943,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM12_pos:5937,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.Q:574,Tcm/Naive helper T cells,Follicular helper T cells
Foster_2024.SMM13_pos:6578,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Kfoury_2021.BMM8:1246,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.F:974,Tem/Effector helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM6_pos:715,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.HD2_pos:5445,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.K:1279,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.MM6_neg:4368,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Zheng_2021.P20190322-T:1112,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM7_pos:8491,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.83942_Primary:4380,NK cells,Tem/Temra cytotoxic T cells
Foster_2024.MM7_pos:5130,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM4:559,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM1_pos:4490,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM12_pos:5154,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM2_pos:3280,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_pos:7422,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.W:1080,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Oetjen_2018.J:407,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:4406,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.MM3_pos:170,Tem/Trm cytotoxic T cells,Tcm/Naive helper T cells
Foster_2024.SMM1_pos:10000,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM2_neg:1295,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.S_T2:526,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.HD2_pos:8902,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM8_pos:8427,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM13_pos:9052,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM8_pos:9570,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.O:3918,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.MM7_pos:10815,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.O:2427,MAIT cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM2_pos:5472,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_pos:1848,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM2_pos:4647,Tem/Temra cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.HD1_pos:2966,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM8_pos:4318,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Zheng_2021.P20190122-T:1874,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.mgus6:255,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Bailur_2019.mm11:738,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Kfoury_2021.BMM9:1843,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.MM7_pos:4608,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM12_pos:4656,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD2_pos:2747,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM7_pos:5120,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190322-P:58,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD1_pos:3294,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.T:540,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM8_pos:1216,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.hd7:1417,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM11_neg:3440,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Bailur_2019.mgus5:103,CD16+ NK cells,CD16+ NK cells
Foster_2024.SMM9_pos:4464,Type 1 helper T cells,CD16- NK cells
Foster_2024.MM6_pos:8254,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM7_pos:4979,CD16+ NK cells,Tem/Temra cytotoxic T cells
Foster_2024.HD2_pos:2876,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Zavidij_2020.SMMh-9:242,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.H:327,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM6_pos:392,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Zheng_2021.P20181219-T:2961,CD16+ NK cells,CD16+ NK cells
Bailur_2019.mgus8:287,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MGUS1_pos:4340,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Granja_2019.BMMC_D1T1:4996,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.E:710,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM6_pos:10257,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM1_pos:8544,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Kfoury_2021.BMM2:3728,Tem/Trm cytotoxic T cells,Trm cytotoxic T cells
Oetjen_2018.K:2190,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM6_pos:3236,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM6_pos:3408,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.MM7_pos:3555,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.S_T2:4388,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM4_pos:2715,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190122-T:3578,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Kfoury_2021.BMM2:1622,Trm cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM12_neg:367,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Kfoury_2021.BMM9:1368,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.K:4345,NKT cells,NKT cells
Oetjen_2018.W:1137,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM2:30,Trm cytotoxic T cells,Trm cytotoxic T cells
Oetjen_2018.S_T2:3521,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.F:1490,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM13_pos:11423,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM4_pos:8838,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM11_pos:6601,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.37692_SMM:160,Treg(diff),Tcm/Naive helper T cells
Oetjen_2018.K:6502,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM8:185,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.mgus12:183,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.HD3_pos:2483,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MGUS1_pos:2318,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Kfoury_2021.BMM2:2128,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM3_pos:813,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM7_pos:2307,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MGUS1_pos:3291,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM10_neg:3150,MAIT cells,MAIT cells
Zheng_2021.P20190122-T:4551,Regulatory T cells,Regulatory T cells
Zheng_2021.P20190322-P:3572,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.O:1660,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Bailur_2019.mgus12:432,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM12_pos:4985,Tem/Effector helper T cells,Tcm/Naive helper T cells
Oetjen_2018.M:369,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.S_T2:3417,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD1_pos:3024,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.T:1438,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190122-T:3804,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM4_pos:8423,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.K:6136,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20181219-T:2334,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.58408_SMM:346,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Bailur_2019.mm1:652,NK cells,NK cells
Foster_2024.SMM4_pos:4888,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.mm1:1414,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.37692_Primary:2258,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:8617,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.hd4:243,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.HD2_pos:2567,MAIT cells,Tcm/Naive helper T cells
Bailur_2019.mm1:1157,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM6:33,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM7_neg:2833,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.mm3:1203,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.MM6_pos:5376,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM4_pos:5391,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.MM6_pos:1242,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.mm2:1107,CRTAM+ gamma-delta T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM7_pos:10803,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.HD2_pos:7174,Regulatory T cells,Regulatory T cells
Kfoury_2021.BMM4:1121,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Oetjen_2018.L:934,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD1_pos:2300,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Zheng_2021.P20181219-T:2350,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.77570_Primary:3801,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM5:2162,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:1253,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Bailur_2019.mgus5:1289,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM7_pos:1026,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Liu_2021.58408_Primary:1876,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.S_T2:5395,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM13_neg:6616,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.O:2887,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM2:3553,Regulatory T cells,Regulatory T cells
Zavidij_2020.SMMl-1:501,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190122-T:2165,NKT cells,NKT cells
Oetjen_2018.U:923,Tem/Effector helper T cells,Tem/Effector helper T cells
Bailur_2019.mgus6:371,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zavidij_2020.MM-5:696,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM1_pos:11234,NK cells,NK cells
Bailur_2019.mgus7:709,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM6_pos:4113,CRTAM+ gamma-delta T cells,CRTAM+ gamma-delta T cells
Zheng_2021.P20190322-P:3969,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM12_pos:6474,Tem/Effector helper T cells,Tcm/Naive helper T cells
Foster_2024.HD2_pos:7809,Tcm/Naive helper T cells,Tcm/Naive cytotoxic T cells
Kfoury_2021.BMM4:485,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Kfoury_2021.BMM6:614,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Bailur_2019.hd8:450,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM6_pos:10767,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM4_neg:1708,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.60359_Primary:478,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.L:2475,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.MM4_pos:8020,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM1_neg:528,CRTAM+ gamma-delta T cells,CRTAM+ gamma-delta T cells
Bailur_2019.mgus5:1169,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Zheng_2021.P20190322-P:1810,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM6_pos:1662,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM11_pos:4297,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.N:3446,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.37692_Primary:3587,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_pos:2503,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM8_pos:6975,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.hd6:50,Tem/Effector helper T cells,Tcm/Naive helper T cells
Bailur_2019.mm7:1495,Tem/Trm cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.B:1620,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.F:950,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM8_pos:7369,Tem/Effector helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190122-P:928,CD16+ NK cells,CD16+ NK cells
Foster_2024.SMM5_pos:6869,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM5:2183,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.mgus5:936,Transitional NK,CD16+ NK cells
Foster_2024.HD2_pos:7453,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM1_pos:10466,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM6_pos:4639,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM5_neg:2938,Tem/Temra cytotoxic T cells,NK cells
Foster_2024.SMM6_neg:357,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.T:2430,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.mgus14:934,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM7_pos:8532,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Zheng_2021.P20190322-T:1904,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.MM7_pos:873,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_pos:2880,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM14_neg:1064,NK cells,MAIT cells
Oetjen_2018.C_T1_S1:1514,Monocytes,Tcm/Naive cytotoxic T cells
Zavidij_2020.SMMl-2:673,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD1_pos:2911,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM3_neg:166,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Bailur_2019.mm7:743,Follicular helper T cells,Tem/Effector helper T cells
Foster_2024.SMM9_pos:7845,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Zheng_2021.P20190122-P:2288,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.L:2690,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190322-P:324,Tem/Temra cytotoxic T cells,CD16+ NK cells
Foster_2024.MGUS1_pos:580,Regulatory T cells,Regulatory T cells
Foster_2024.SMM9_pos:5572,NK cells,NK cells
Foster_2024.SMM11_neg:2312,Type 1 helper T cells,Type 1 helper T cells
Kfoury_2021.BMM9:930,Trm cytotoxic T cells,Trm cytotoxic T cells
Zavidij_2020.NBM-10:576,Regulatory T cells,Regulatory T cells
Foster_2024.MM4_pos:3800,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MGUS1_pos:1956,Tem/Trm cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM4_pos:1721,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM1_pos:3898,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.F:821,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.59114_Primary:1589,Tem/Trm cytotoxic T cells,NK cells
Foster_2024.SMM11_pos:7248,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.83942_Primary:573,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD1_pos:268,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM11_pos:9741,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM1_pos:6713,Tem/Effector helper T cells,Tem/Effector helper T cells
Liu_2021.60359_Primary:1505,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_pos:9149,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM9_pos:9432,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Kfoury_2021.BMM3:2472,Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Zheng_2021.P20190322-P:3744,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.mm6:311,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Bailur_2019.mm3:4,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.MM3_pos:555,MAIT cells,MAIT cells
Zavidij_2020.MM-5:914,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.W:293,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:7747,Tem/Effector helper T cells,Tem/Trm cytotoxic T cells
Zheng_2021.P20190322-P:2711,Treg(diff),Tcm/Naive helper T cells
Kfoury_2021.BMM2:1432,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Granja_2019.BMMC_D1T1:1178,Tem/Effector helper T cells,Tcm/Naive helper T cells
Zavidij_2020.SMMl-1:479,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.Q:465,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM9_pos:8286,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM10_neg:4305,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM5_pos:5194,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.mm1:573,MAIT cells,MAIT cells
Foster_2024.SMM11_pos:2089,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Bailur_2019.mm3:713,CD16+ NK cells,CD16+ NK cells
Zheng_2021.P20190322-P:966,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM2_pos:4618,Regulatory T cells,Regulatory T cells
Granja_2019.BMMC_D1T1:3195,MAIT cells,MAIT cells
Bailur_2019.mgus9:152,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.60359_Primary:1546,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM9_pos:10306,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.60359_Primary:2273,CD16+ NK cells,CD16+ NK cells
Foster_2024.MM7_pos:3004,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM5_pos:7719,Tem/Effector helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM3:2068,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM12_pos:6663,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM12_pos:650,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM8_pos:7716,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM13_pos:4817,Regulatory T cells,Regulatory T cells
Foster_2024.SMM5_pos:2764,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM4_pos:8266,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM11_pos:805,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM1_pos:5865,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Kfoury_2021.BMM5:752,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.S_T2:1533,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MGUS1_pos:5404,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:7230,Tem/Effector helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM1_pos:5774,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM7_pos:2542,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM4_pos:273,Tcm/Naive cytotoxic T cells,Tcm/Naive helper T cells
Bailur_2019.mm2:362,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM7_neg:3606,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.HD1_pos:1393,Tem/Effector helper T cells,Tcm/Naive helper T cells
Oetjen_2018.W:2797,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM12_neg:6840,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.mm2:881,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Granja_2019.BMMC_D1T2:5076,Tem/Effector helper T cells,Tem/Effector helper T cells
Zavidij_2020.SMMh-2:49,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM11_pos:3735,NK cells,NK cells
Zheng_2021.P20190122-T:3252,Trm cytotoxic T cells,Trm cytotoxic T cells
Foster_2024.SMM2_pos:3953,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM14_neg:158,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.MGUS1_neg:2389,MAIT cells,MAIT cells
Bailur_2019.mm5:484,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.MGUS1_pos:5206,Regulatory T cells,Regulatory T cells
Bailur_2019.hd8:316,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM11_pos:1963,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM9_pos:2066,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM4_pos:7892,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM13_pos:12171,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM1_pos:1269,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Zavidij_2020.MM-7:650,Type 17 helper T cells,Early lymphoid/T lymphoid
Foster_2024.SMM11_pos:8194,Tem/Trm cytotoxic T cells,Tcm/Naive cytotoxic T cells
Bailur_2019.mgus14:868,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM4_pos:160,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM12_pos:3427,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.mgus6:1249,CD16+ NK cells,CD16+ NK cells
Foster_2024.SMM1_pos:7021,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM12_pos:3374,Tem/Effector helper T cells,Tem/Effector helper T cells
Zheng_2021.P20190322-P:3945,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.A:2349,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM2_pos:3448,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.M:919,Tem/Trm cytotoxic T cells,Tcm/Naive helper T cells
Foster_2024.SMM12_pos:3111,Tcm/Naive helper T cells,Tcm/Naive helper T cells
