"pt","raw_clonotype_id","CD8A","nonvir10_UCell","exp"
"PT16","clonotype28",0,0.536733333333333,FALSE
"PT16","clonotype43",2.1129981809237,0.303933333333333,FALSE
"PT16","clonotype2",2.36740213804754,0.374466666666667,FALSE
"PT16","clonotype6",2.42140585178179,0.292433333333333,FALSE
"PT16","clonotype31",0,0.2342,FALSE
"PT16","clonotype350",0,0.198333333333333,FALSE
"PT16","clonotype139",0,0.358,FALSE
"PT16","clonotype699",0,0.1452,FALSE
"PT16","clonotype114",1.23396153636115,0.1868,FALSE
"PT16","clonotype139",0,0.464233333333333,FALSE
"PT16","clonotype153",0,0.639933333333333,FALSE
"PT16","clonotype793",0,0.184133333333333,FALSE
"PT16","clonotype32",0,0.3609,TRUE
"PT16","clonotype652",0,0.220366666666667,FALSE
"PT16","clonotype19",1.5109395751153,0.5669,FALSE
"PT16","clonotype30",3.23211234738102,0.164666666666667,FALSE
"PT16","clonotype329",0,0.409866666666667,FALSE
"PT16","clonotype40",3.06919381358824,0.209433333333333,FALSE
"PT16","clonotype1",1.6211498823017,0.412766666666667,FALSE
"PT16","clonotype23",2.6557742948093,0.562666666666667,FALSE
"PT16","clonotype18",1.76740619397656,0.3417,FALSE
"PT16","clonotype1",2.00044104877695,0.419166666666667,FALSE
"PT16","clonotype49",0,0.174666666666667,FALSE
"PT16","clonotype49",0,0.155,FALSE
"PT16","clonotype505",0,0.254166666666667,FALSE
"PT16","clonotype12",2.87113108556033,0.596533333333333,FALSE
"PT16","clonotype701",0,0.231866666666667,FALSE
"PT16","clonotype524",0.826767660077844,0.760366666666667,FALSE
"PT16","clonotype503",0,0.1898,FALSE
"PT16","clonotype58",0,0.3844,FALSE
"PT16","clonotype3",0,0.4522,FALSE
"PT16","clonotype582",0,0.327433333333333,FALSE
"PT16","clonotype138",3.3509114598891,0.4076,FALSE
"PT16","clonotype672",0,0.500266666666667,FALSE
"PT16","clonotype457",0,0.358733333333333,FALSE
"PT16","clonotype536",0,0.126933333333333,FALSE
"PT16","clonotype23",2.69279361656955,0.517266666666667,FALSE
"PT16","clonotype10",2.5747730500418,0.177066666666667,FALSE
"PT16","clonotype231",0,0.6677,FALSE
"PT16","clonotype18",0,0.245033333333333,FALSE
"PT16","clonotype16",2.51404665748577,0.4098,FALSE
"PT16","clonotype19",0.916439438789785,0.695066666666667,FALSE
"PT16","clonotype451",0,0.274066666666667,FALSE
"PT16","clonotype13",3.04887998820986,0.487133333333333,TRUE
"PT16","clonotype9",1.90141204460782,0.441066666666667,FALSE
"PT16","clonotype6",1.36465639101534,0.3412,FALSE
"PT16","clonotype27",1.82691615483031,0.654866666666667,FALSE
"PT16","clonotype439",0,0.383633333333333,FALSE
"PT16","clonotype6",1.00939810377194,0.279666666666667,FALSE
"PT16","clonotype71",2.12886751981386,0.605866666666667,FALSE
"PT16","clonotype198",2.17801218277182,0.507166666666667,FALSE
"PT16","clonotype386",0,0.175433333333333,FALSE
"PT16","clonotype797",0,0.377266666666667,FALSE
"PT16","clonotype668",0,0.2566,FALSE
"PT16","clonotype136",0,0.181966666666667,FALSE
"PT16","clonotype41",1.04103248453682,0.596633333333333,FALSE
"PT16","clonotype1",2.2450077837056,0.2463,FALSE
"PT16","clonotype783",1.44047921665719,0.586866666666667,FALSE
"PT16","clonotype246",0,0.237366666666667,FALSE
"PT16","clonotype777",0,0.241833333333333,FALSE
"PT16","clonotype21",2.7401047393688,0.670433333333333,FALSE
"PT16","clonotype676",0,0.4465,FALSE
"PT16","clonotype61",0,0.2878,FALSE
"PT16","clonotype2",3.2812188642278,0.509033333333333,FALSE
"PT16","clonotype239",0,0.1971,FALSE
"PT16","clonotype696",0,0.2238,FALSE
"PT16","clonotype216",1.7880820312843,0.3951,FALSE
"PT16","clonotype16",1.9975473253246,0.155133333333333,FALSE
"PT16","clonotype490",0,0.0923,FALSE
"PT16","clonotype53",0,0.436566666666667,FALSE
"PT16","clonotype23",1.70307982311955,0.3251,FALSE
"PT16","clonotype300",0,0,FALSE
"PT16","clonotype4",0,0.435866666666667,FALSE
"PT16","clonotype13",1.18936397885374,0.644,TRUE
"PT16","clonotype322",0,0.116933333333333,FALSE
"PT16","clonotype157",0,0.338366666666667,FALSE
"PT16","clonotype651",0.397376231460389,0.641666666666667,FALSE
"PT16","clonotype559",0,0.139933333333333,FALSE
"PT16","clonotype7",1.05547266733951,0.549233333333333,FALSE
"PT16","clonotype244",0,0.4157,FALSE
"PT16","clonotype17",0,0.177533333333333,FALSE
"PT16","clonotype9",2.18927839455434,0.5494,FALSE
"PT16","clonotype568",0,0.224533333333333,FALSE
"PT16","clonotype189",0,0.319533333333333,FALSE
"PT16","clonotype438",0.588904946656023,0.351366666666667,FALSE
"PT16","clonotype7",2.40444220045521,0.4947,FALSE
"PT16","clonotype29",2.30740105701302,0.4174,FALSE
"PT16","clonotype23",1.60215273612001,0.4449,FALSE
"PT16","clonotype103",0,0.421066666666667,FALSE
"PT16","clonotype16",2.37173020717434,0.587533333333333,FALSE
"PT16","clonotype82",1.02237008418319,0.544933333333333,FALSE
"PT16","clonotype229",0,0.285266666666667,FALSE
"PT16","clonotype49",0,0.178333333333333,FALSE
"PT16","clonotype186",0.932608448412234,0.352066666666667,FALSE
"PT16","clonotype14",0,0.155833333333333,FALSE
"PT16","clonotype9",2.30841619753057,0.317633333333333,FALSE
"PT16","clonotype63",2.30807769781117,0.158933333333333,FALSE
"PT16","clonotype6",0.97215246761148,0.186233333333333,FALSE
"PT16","clonotype8",1.24609651210519,0.323733333333333,FALSE
"PT16","clonotype3",2.23159247196002,0.278566666666667,FALSE
"PT16","clonotype683",1.3696381158588,0.279733333333333,FALSE
"PT16","clonotype236",0,0.262933333333333,FALSE
"PT16","clonotype4",0,0.617933333333333,FALSE
"PT16","clonotype50",0,0.591133333333333,FALSE
"PT16","clonotype763",0,0.263566666666667,FALSE
"PT16","clonotype252",0,0.169,FALSE
"PT16","clonotype28",1.20659696160314,0.379133333333333,FALSE
"PT16","clonotype11",1.20121428552546,0.287233333333333,FALSE
"PT16","clonotype54",2.13596919812674,0.293633333333333,FALSE
"PT16","clonotype416",0,0.424233333333333,FALSE
"PT16","clonotype255",0,0.559866666666667,FALSE
"PT16","clonotype6",1.08462912538297,0.367166666666667,FALSE
"PT16","clonotype7",1.12945657802256,0.615266666666667,FALSE
"PT16","clonotype1",1.73562573048093,0.537533333333333,FALSE
"PT16","clonotype16",0,0.4482,FALSE
"PT16","clonotype171",0,0.202666666666667,FALSE
"PT16","clonotype2",1.02881642192007,0.503833333333333,FALSE
"PT16","clonotype2",2.60459423176917,0.4911,FALSE
"PT16","clonotype19",1.43746594792309,0.348066666666667,FALSE
"PT16","clonotype208",0.582948003264484,0.480166666666667,FALSE
"PT16","clonotype106",1.15947197800355,0.708366666666667,FALSE
