obs_names,subclus,leiden_recl
Foster_2024.SMM6_neg:2352,Invar,1
Foster_2024.SMM6_neg:2605,Invar,1
Foster_2024.SMM6_neg:2625,Invar,0
Foster_2024.SMM6_neg:3039,Invar,0
Foster_2024.SMM6_neg:3045,Invar,1
Foster_2024.SMM6_neg:3182,Invar,0
Foster_2024.SMM6_neg:3218,Invar,0
Foster_2024.SMM6_neg:3298,Invar,0
Foster_2024.SMM6_neg:3570,Invar,1
Foster_2024.SMM6_neg:3702,Invar,1
Foster_2024.SMM8_pos:225,Invar,0
Foster_2024.SMM8_pos:226,Invar,1
Foster_2024.SMM8_pos:261,Invar,1
Foster_2024.SMM8_pos:267,Invar,0
Foster_2024.SMM8_pos:313,Invar,0
Foster_2024.SMM8_pos:347,Invar,0
Foster_2024.SMM8_pos:355,Invar,1
Foster_2024.SMM8_pos:387,Invar,1
Foster_2024.SMM8_pos:392,Invar,0
Foster_2024.SMM8_pos:612,Invar,1
Foster_2024.SMM8_pos:625,Invar,1
Foster_2024.SMM8_pos:642,Invar,1
Foster_2024.SMM8_pos:723,Invar,1
Foster_2024.SMM8_pos:795,Invar,0
Foster_2024.SMM8_pos:916,Invar,1
Foster_2024.SMM8_pos:957,Invar,1
Foster_2024.SMM8_pos:993,Invar,0
Foster_2024.SMM8_pos:1012,Invar,1
Foster_2024.SMM8_pos:1079,Invar,2
Foster_2024.SMM8_pos:1087,Invar,1
Foster_2024.SMM8_pos:1100,Invar,0
Foster_2024.SMM8_pos:1160,Invar,0
Foster_2024.SMM8_pos:1239,Invar,1
Foster_2024.SMM8_pos:1260,Invar,1
Foster_2024.SMM8_pos:1354,Invar,0
Foster_2024.SMM8_pos:1374,Invar,1
Foster_2024.SMM8_pos:1384,Invar,2
Foster_2024.SMM8_pos:1513,Invar,1
Foster_2024.SMM8_pos:1517,Invar,1
Foster_2024.SMM8_pos:1581,Invar,1
Foster_2024.SMM8_pos:1595,Invar,0
Foster_2024.SMM8_pos:1621,Invar,2
Foster_2024.SMM8_pos:1639,Invar,1
Foster_2024.SMM8_pos:1643,Invar,1
Foster_2024.SMM8_pos:1673,Invar,1
Foster_2024.SMM8_pos:1782,Invar,2
Foster_2024.SMM8_pos:1795,Invar,1
Foster_2024.SMM8_pos:1923,Invar,1
Foster_2024.SMM8_pos:1985,Invar,1
Foster_2024.SMM8_pos:1986,Invar,0
Foster_2024.SMM8_pos:2011,Invar,1
Foster_2024.SMM8_pos:2065,Invar,0
Foster_2024.SMM8_pos:2137,Invar,0
Foster_2024.SMM8_pos:2151,Invar,1
Foster_2024.SMM8_pos:2183,Invar,0
Foster_2024.SMM8_pos:2213,Invar,1
Foster_2024.SMM8_pos:2238,Invar,1
Foster_2024.SMM8_pos:2252,Invar,1
Foster_2024.SMM8_pos:2295,Invar,0
Foster_2024.SMM8_pos:2319,Invar,1
Foster_2024.SMM8_pos:2348,Invar,1
Foster_2024.SMM8_pos:2352,Invar,1
Foster_2024.SMM8_pos:2442,Invar,1
Foster_2024.SMM8_pos:2482,Invar,1
Foster_2024.SMM8_pos:2537,Invar,0
Foster_2024.SMM8_pos:2609,Invar,0
Foster_2024.SMM8_pos:2646,Invar,1
Foster_2024.SMM8_pos:2675,Invar,1
Foster_2024.SMM8_pos:2716,Invar,1
Foster_2024.SMM8_pos:2744,Invar,0
Foster_2024.SMM8_pos:2760,Invar,1
Foster_2024.SMM8_pos:2764,Invar,1
Foster_2024.SMM8_pos:2824,Invar,0
Foster_2024.SMM8_pos:2841,Invar,0
Foster_2024.SMM8_pos:2850,Invar,1
Foster_2024.SMM8_pos:2927,Invar,1
Foster_2024.SMM8_pos:3032,Invar,0
Foster_2024.SMM8_pos:3120,Invar,0
Foster_2024.SMM8_pos:3157,Invar,1
Foster_2024.SMM8_pos:3193,Invar,1
Foster_2024.SMM8_pos:3311,Invar,0
Foster_2024.SMM8_pos:3312,Invar,1
Foster_2024.SMM8_pos:3326,Invar,1
Foster_2024.SMM8_pos:3373,Invar,1
Foster_2024.SMM8_pos:3377,Invar,0
Foster_2024.SMM8_pos:3393,Invar,1
Foster_2024.SMM8_pos:3402,Invar,0
Foster_2024.SMM8_pos:3446,Invar,0
Foster_2024.SMM8_pos:3517,Invar,1
Foster_2024.SMM8_pos:3537,Invar,0
Foster_2024.SMM8_pos:3568,Invar,0
Foster_2024.SMM8_pos:3663,Invar,1
Foster_2024.SMM8_pos:3747,Invar,1
Foster_2024.SMM8_pos:3750,Invar,2
Foster_2024.SMM8_pos:3849,Invar,1
Foster_2024.SMM8_pos:3860,Invar,0
Foster_2024.SMM8_pos:3866,Invar,1
Foster_2024.SMM8_pos:4014,Invar,0
Foster_2024.SMM8_pos:4024,Invar,0
Foster_2024.SMM8_pos:4037,Invar,1
Foster_2024.SMM8_pos:4067,Invar,0
Foster_2024.SMM8_pos:4071,Invar,1
Foster_2024.SMM8_pos:4084,Invar,0
Foster_2024.SMM8_pos:4095,Invar,0
Foster_2024.SMM8_pos:4182,Invar,0
Foster_2024.SMM8_pos:4234,Invar,1
Foster_2024.SMM8_pos:4267,Invar,1
Foster_2024.SMM8_pos:4331,Invar,0
Foster_2024.SMM8_pos:4345,Invar,0
Foster_2024.SMM8_pos:4420,Invar,1
Foster_2024.SMM8_pos:4434,Invar,1
Foster_2024.SMM8_pos:4484,Invar,1
Foster_2024.SMM8_pos:4495,Invar,1
Foster_2024.SMM8_pos:4521,Invar,1
Foster_2024.SMM8_pos:4556,Invar,0
Foster_2024.SMM8_pos:4591,Invar,0
Foster_2024.SMM8_pos:4670,Invar,1
Foster_2024.SMM8_pos:4671,Invar,0
Foster_2024.SMM8_pos:4672,Invar,1
Foster_2024.SMM8_pos:4708,Invar,1
Foster_2024.SMM8_pos:4710,Invar,1
Foster_2024.SMM8_pos:4765,Invar,0
Foster_2024.SMM8_pos:4853,Invar,2
Foster_2024.SMM8_pos:4862,Invar,0
Foster_2024.SMM8_pos:4872,Invar,0
Foster_2024.SMM8_pos:4905,Invar,1
Foster_2024.SMM8_pos:4941,Invar,0
Foster_2024.SMM8_pos:4977,Invar,1
Foster_2024.SMM8_pos:4991,Invar,1
Foster_2024.SMM8_pos:5020,Invar,0
Foster_2024.SMM8_pos:5023,Invar,2
Foster_2024.SMM8_pos:5025,Invar,1
Foster_2024.SMM8_pos:5066,Invar,1
Foster_2024.SMM8_pos:5098,Invar,1
Foster_2024.SMM8_pos:5113,Invar,1
Foster_2024.SMM8_pos:5148,Invar,1
Foster_2024.SMM8_pos:5163,Invar,0
Foster_2024.SMM8_pos:5185,Invar,1
Foster_2024.SMM8_pos:5340,Invar,0
Foster_2024.SMM8_pos:5344,Invar,0
Foster_2024.SMM8_pos:5393,Invar,1
Foster_2024.SMM8_pos:5406,Invar,1
Foster_2024.SMM8_pos:5446,Invar,1
Foster_2024.SMM8_pos:5462,Invar,0
Foster_2024.SMM8_pos:5571,Invar,1
Foster_2024.SMM8_pos:5592,Invar,1
Foster_2024.SMM8_pos:5630,Invar,1
Foster_2024.SMM8_pos:5632,Invar,1
Foster_2024.SMM8_pos:5677,Invar,0
Foster_2024.SMM8_pos:5678,Invar,1
Foster_2024.SMM8_pos:5706,Invar,1
Foster_2024.SMM8_pos:5831,Invar,1
Foster_2024.SMM8_pos:5839,Invar,0
Foster_2024.SMM8_pos:5885,Invar,0
Foster_2024.SMM8_pos:5891,Invar,1
Foster_2024.SMM8_pos:5901,Invar,0
Foster_2024.SMM8_pos:5950,Invar,0
Foster_2024.SMM8_pos:5951,Invar,0
Foster_2024.SMM8_pos:6024,Invar,1
Foster_2024.SMM8_pos:6136,Invar,0
Foster_2024.SMM8_pos:6139,Invar,1
Foster_2024.SMM8_pos:6290,Invar,0
Foster_2024.SMM8_pos:6335,Invar,0
Foster_2024.SMM8_pos:6448,Invar,0
Foster_2024.SMM8_pos:6451,Invar,1
Foster_2024.SMM8_pos:6484,Invar,0
Foster_2024.SMM8_pos:6492,Invar,0
Foster_2024.SMM8_pos:6513,Invar,1
Foster_2024.SMM8_pos:6562,Invar,1
Foster_2024.SMM8_pos:6572,Invar,0
Foster_2024.SMM8_pos:6639,Invar,1
Foster_2024.SMM8_pos:6724,Invar,1
Foster_2024.SMM8_pos:6726,Invar,0
Foster_2024.SMM8_pos:6762,Invar,1
Foster_2024.SMM8_pos:6782,Invar,0
Foster_2024.SMM8_pos:6791,Invar,2
Foster_2024.SMM8_pos:6815,Invar,1
