pathway,pathway_neat,gene
MP4  Chromatin,Chromatin,RANBP2
MP4  Chromatin,Chromatin,SMC5
MP4  Chromatin,Chromatin,ARGLU1
MP4  Chromatin,Chromatin,BDP1
MP4  Chromatin,Chromatin,SETD2
MP4  Chromatin,Chromatin,SLK
MP4  Chromatin,Chromatin,SPAG9
MP4  Chromatin,Chromatin,SUZ12
MP4  Chromatin,Chromatin,AHCTF1
MP4  Chromatin,Chromatin,CLINT1
MP4  Chromatin,Chromatin,FAM208B
MP4  Chromatin,Chromatin,KMT2A
MP4  Chromatin,Chromatin,MACF1
MP4  Chromatin,Chromatin,PAXBP1
MP4  Chromatin,Chromatin,HIST1H1B
MP4  Chromatin,Chromatin,UACA
MP4  Chromatin,Chromatin,SENP6
MP4  Chromatin,Chromatin,ZMYM4
MP5 Stress,Stress,ATF3
MP5 Stress,Stress,EGR1
MP5 Stress,Stress,FOS
MP5 Stress,Stress,PPP1R15A
MP5 Stress,Stress,JUN
MP5 Stress,Stress,DUSP1
MP5 Stress,Stress,JUNB
MP5 Stress,Stress,FOSB
MP5 Stress,Stress,IER2
MP5 Stress,Stress,GADD45B
MP5 Stress,Stress,BTG2
MP5 Stress,Stress,ZFP36
MP5 Stress,Stress,DNAJB1
MP5 Stress,Stress,NR4A1
MP5 Stress,Stress,SERTAD1
MP5 Stress,Stress,DDIT3
MP5 Stress,Stress,KLF6
MP5 Stress,Stress,NFKBIA
MP5 Stress,Stress,HSPA1A
MP5 Stress,Stress,HSPA1B
MP5 Stress,Stress,CYR61
MP5 Stress,Stress,MAFF
MP5 Stress,Stress,NFKBIZ
MP5 Stress,Stress,IER3
MP5 Stress,Stress,CCNL1
MP5 Stress,Stress,MCL1
MP5 Stress,Stress,RHOB
MP5 Stress,Stress,SOCS3
MP5 Stress,Stress,IRF1
MP5 Stress,Stress,CDKN1A
MP5 Stress,Stress,HES1
MP5 Stress,Stress,ID2
MP5 Stress,Stress,KLF4
MP5 Stress,Stress,KLF10
MP5 Stress,Stress,CXCL2
MP5 Stress,Stress,ID1
MP5 Stress,Stress,TOB1
MP5 Stress,Stress,TRIB1
MP5 Stress,Stress,HSPH1
MP5 Stress,Stress,RASD1
MP5 Stress,Stress,SAT1
MP5 Stress,Stress,DDIT4
MP5 Stress,Stress,EGR2
MP5 Stress,Stress,HERPUD1
MP5 Stress,Stress,PLK2
MP5 Stress,Stress,DNAJA1
MP5 Stress,Stress,HSPA6
MP5 Stress,Stress,PMAIP1
MP5 Stress,Stress,CITED2
MP5 Stress,Stress,ID3
MP6 Hypoxia,Hypoxia,NDRG1
MP6 Hypoxia,Hypoxia,BNIP3
MP6 Hypoxia,Hypoxia,SLC2A1
MP6 Hypoxia,Hypoxia,P4HA1
MP6 Hypoxia,Hypoxia,VEGFA
MP6 Hypoxia,Hypoxia,ENO2
MP6 Hypoxia,Hypoxia,ADM
MP6 Hypoxia,Hypoxia,HILPDA
MP6 Hypoxia,Hypoxia,PGK1
MP6 Hypoxia,Hypoxia,BNIP3L
MP6 Hypoxia,Hypoxia,FAM162A
MP6 Hypoxia,Hypoxia,PLOD2
MP6 Hypoxia,Hypoxia,EGLN3
MP6 Hypoxia,Hypoxia,LDHA
MP6 Hypoxia,Hypoxia,MT1X
MP6 Hypoxia,Hypoxia,NRN1
MP6 Hypoxia,Hypoxia,DDIT4
MP6 Hypoxia,Hypoxia,DDIT3
MP6 Hypoxia,Hypoxia,ERO1A
MP6 Hypoxia,Hypoxia,ANGPTL4
MP6 Hypoxia,Hypoxia,IGFBP3
MP6 Hypoxia,Hypoxia,PFKP
MP6 Hypoxia,Hypoxia,INSIG2
MP6 Hypoxia,Hypoxia,NDUFA4L2
MP6 Hypoxia,Hypoxia,PDK1
MP6 Hypoxia,Hypoxia,CA9
MP6 Hypoxia,Hypoxia,AKAP12
MP6 Hypoxia,Hypoxia,C4ORF3
MP6 Hypoxia,Hypoxia,IGFBP5
MP6 Hypoxia,Hypoxia,GBE1
MP6 Hypoxia,Hypoxia,LGALS3
MP6 Hypoxia,Hypoxia,TMEM45A
MP6 Hypoxia,Hypoxia,WSB1
MP6 Hypoxia,Hypoxia,GPI
MP6 Hypoxia,Hypoxia,S100A10
MP6 Hypoxia,Hypoxia,SLC16A3
MP6 Hypoxia,Hypoxia,EPB41L4A-AS1
MP6 Hypoxia,Hypoxia,ALDOA
MP6 Hypoxia,Hypoxia,ANKRD37
MP6 Hypoxia,Hypoxia,CAV1
MP6 Hypoxia,Hypoxia,AK4
MP6 Hypoxia,Hypoxia,DNAJB9
MP6 Hypoxia,Hypoxia,ERRFI1
MP6 Hypoxia,Hypoxia,MT2A
MP6 Hypoxia,Hypoxia,SLC3A2
MP6 Hypoxia,Hypoxia,VIM
MP6 Hypoxia,Hypoxia,ENO1
MP6 Hypoxia,Hypoxia,PFKFB3
MP6 Hypoxia,Hypoxia,HK2
MP6 Hypoxia,Hypoxia,CA12
MP7 Stress (in vitro),Stress (in vitro),DDIT3
MP7 Stress (in vitro),Stress (in vitro),SLC3A2
MP7 Stress (in vitro),Stress (in vitro),TRIB3
MP7 Stress (in vitro),Stress (in vitro),ASNS
MP7 Stress (in vitro),Stress (in vitro),HERPUD1
MP7 Stress (in vitro),Stress (in vitro),PPP1R15A
MP7 Stress (in vitro),Stress (in vitro),EPB41L4A-AS1
MP7 Stress (in vitro),Stress (in vitro),SNHG12
MP7 Stress (in vitro),Stress (in vitro),GARS
MP7 Stress (in vitro),Stress (in vitro),GADD45A
MP7 Stress (in vitro),Stress (in vitro),MTHFD2
MP7 Stress (in vitro),Stress (in vitro),XBP1
MP7 Stress (in vitro),Stress (in vitro),CEBPG
MP7 Stress (in vitro),Stress (in vitro),TAF1D
MP7 Stress (in vitro),Stress (in vitro),NUPR1
